FID,osmid,POINT_X,POINT_Y
646,84863348,-82.336925,29.644156
647,84863349,-82.337023,29.644074
648,84863352,-82.337121,29.643925
649,84863802,-82.360142,29.6477055
650,84863804,-82.359404,29.6477591
651,84863807,-82.3579722,29.6477427
652,84863933,-82.360522,29.653484
653,84863935,-82.3605208,29.6558406
654,84863989,-82.3503781,29.6381076
655,84863991,-82.3504179,29.6383103
656,84863993,-82.3504863,29.6391699
657,84863995,-82.350482,29.639638
658,84864004,-82.3504042,29.6448792
659,84864006,-82.3503881,29.6453377
660,84864009,-82.3503377,29.6460284
661,84864011,-82.3501166,29.6463576
662,84864012,-82.3499035,29.6465496
663,84864014,-82.3498694,29.6465817
664,84864015,-82.3497602,29.6467674
665,84864019,-82.3501557,29.6498229
666,84864020,-82.3497677,29.6506986
667,84864691,-82.364509,29.652538
668,84864693,-82.364536,29.653421
669,84864695,-82.364536,29.653884
670,84864697,-82.364545,29.654229
671,84864698,-82.364531,29.654619
672,84864700,-82.364531,29.654718
673,84864702,-82.36453,29.654979
674,84864703,-82.364543,29.655359
675,84864705,-82.364553,29.6560647
676,84864796,-82.343232,29.653498
677,84864798,-82.3440429,29.6534892
678,84864799,-82.3447493,29.6534915
679,84864802,-82.3462792,29.6535004
680,84864806,-82.3478134,29.6535002
681,84864809,-82.349316,29.653511
682,84864841,-82.355245,29.653546
683,84864842,-82.355143,29.653581
684,84864845,-82.354936,29.653606
685,84864846,-82.3521952,29.6535677
686,84864861,-82.3404868,29.6533239
687,84864863,-82.3417931,29.653322
688,84864899,-82.3392981,29.6534399
689,84864901,-82.3404875,29.6533678
690,84864915,-82.367273,29.653883
691,84864916,-82.368169,29.653877
692,84864917,-82.369108,29.653881
693,84864919,-82.361542,29.653359
694,84864921,-82.362867,29.65338
695,84864922,-82.363662,29.653396
696,84865256,-82.361532,29.65303
697,84865257,-82.361538,29.653893
698,84865259,-82.361518,29.653945
699,84865260,-82.361505,29.653965
700,84865262,-82.361419,29.654098
701,84865263,-82.361379,29.654211
702,84865265,-82.361368,29.654231
703,84865266,-82.361351,29.654279
704,84865267,-82.361345,29.654354
705,84865269,-82.361365,29.654444
706,84865271,-82.361401,29.654513
707,84865272,-82.3615136,29.6546296
708,84865273,-82.361538,29.654757
709,84865274,-82.361519,29.655067
710,84865275,-82.361528,29.655471
711,84865276,-82.361653,29.654055
712,84865279,-82.361414,29.654171
713,84865280,-82.361499,29.654102
714,84865282,-82.361575,29.654069
715,84865696,-82.333934,29.65334
716,84866288,-82.366347,29.654609
717,84866289,-82.366367,29.654782
718,84866291,-82.366436,29.654947
719,84866292,-82.366524,29.655066
720,84866293,-82.366733,29.655318
721,84866295,-82.367049,29.655696
722,84866297,-82.367381,29.656129
723,84867045,-82.362896,29.654082
724,84867046,-82.3628909,29.6547746
725,84867048,-82.3628856,29.655477
726,84867240,-82.357424,29.651852
727,84867241,-82.357504,29.651789
728,84867242,-82.357592,29.651731
729,84867243,-82.3576489,29.6516868
730,84867244,-82.357718,29.6516
731,84867246,-82.357976,29.651179
732,84867247,-82.358036,29.650996
733,84867249,-82.3580851,29.6503631
734,84869095,-82.360828,29.6449513
735,84869098,-82.3609779,29.6451455
736,84869099,-82.3610151,29.6451495
737,84869100,-82.3611414,29.6451516
738,84869101,-82.3614969,29.645144
739,84869104,-82.3620955,29.6451258
740,84869106,-82.3622227,29.6451409
741,84869107,-82.3623652,29.6452323
742,84869108,-82.3623964,29.6452804
743,84869110,-82.3624142,29.6453427
744,84869111,-82.362421,29.645567
745,84869112,-82.362432,29.646144
746,84869116,-82.36244,29.647325
747,84869117,-82.362363,29.647443
748,84869118,-82.3621781,29.6475199
749,84869123,-82.3601176,29.6475166
750,84869333,-82.3461352,29.6395886
751,84869334,-82.3466883,29.6395915
752,84869337,-82.3473455,29.639562
753,84869338,-82.347691,29.6395064
754,84869340,-82.3479089,29.6395011
755,84869341,-82.3481433,29.639542
756,84869344,-82.3483483,29.6396035
757,84869347,-82.3487574,29.6397024
758,84869349,-82.3489683,29.6397016
759,84869350,-82.3490584,29.6396886
760,84869351,-82.3494609,29.6395316
761,84869352,-82.3496784,29.6394492
762,84869354,-82.3502725,29.6392332
763,84873625,-82.3605048,29.6503841
